system:index,area,landcover,grid,.geo
1_1_0_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4158209454889,30.508179437389334]}"
1_1_1_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4337872511713,30.5018912304005]}"
1_1_2_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.33048099349755,30.52345079721937]}"
1_1_3_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30263321968984,30.466856934319836]}"
1_1_4_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18854717860665,30.61148569506308]}"
1_1_5_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32149784065635,30.489314816422826]}"
1_1_6_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20741179957317,30.553095201595312]}"
1_1_7_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21908989826673,30.57734971426654]}"
1_1_8_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28197196815509,30.51806090551465]}"
1_1_9_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26131071662034,30.596214335233046]}"
1_1_10_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49666932105966,30.4237378006821]}"
1_1_11_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.18854717860665,30.549501940458832]}"
1_1_12_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4248040983301,30.537823841765277]}"
1_1_13_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50116089748026,30.434517584091534]}"
1_1_14_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38258327997647,30.477636717729272]}"
1_1_15_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35024392974817,30.45967041204688]}"
1_1_16_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21370000656201,30.55758677801591]}"
1_1_17_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.32239615594047,30.474043456592792]}"
1_1_18_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27209050002978,30.468653564888076]}"
1_1_19_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36551528957821,30.522552481935247]}"
1_1_20_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39515969395416,30.51806090551465]}"
1_1_21_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31700626423576,30.453382205058045]}"
1_1_22_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.24783598735856,30.63124863131371]}"
1_1_23_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41941420662538,30.51716259023053]}"
1_1_24_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.43648219702365,30.533332265344683]}"
1_1_25_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39875295509063,30.49919628454814]}"
1_1_26_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39605800923827,30.474043456592792]}"
1_1_27_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38078664940824,30.474043456592792]}"
1_1_28_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2864635445757,30.503687860968736]}"
1_1_29_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.26490397775682,30.550400255742954]}"
1_1_30_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40504116207947,30.507281122105216]}"
1_1_31_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.50475415861673,30.413856332556787]}"
1_1_32_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.38168496469235,30.511772698525814]}"
1_1_33_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.23885283451736,30.580044660118897]}"
1_1_34_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44726198043308,30.510874383241692]}"
1_1_35_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28107365287097,30.465958619035717]}"
1_1_36_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.30892142667868,30.520755851367007]}"
1_1_37_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.21729326769848,30.623163793756632]}"
1_1_38_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41043105378418,30.537823841765277]}"
1_1_39_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.34934561446406,30.4650603037516]}"
1_1_40_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.23885283451736,30.55219688631119]}"
1_1_41_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.19753033144785,30.62765537017723]}"
1_1_42_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46432997083136,30.433619268807416]}"
1_1_43_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46522828611548,30.375228775339647]}"
1_1_44_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44007545816012,30.464161988467477]}"
1_1_45_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20920843014142,30.551298571027072]}"
1_1_46_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.33946414633874,30.537823841765277]}"
1_1_47_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2595140860521,30.57285813784594]}"
1_1_48_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.35383719088465,30.471348510740434]}"
1_1_49_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.36821023543057,30.460568727331]}"
1_1_50_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.3421590921911,30.455178835626285]}"
1_1_51_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.44905861100132,30.45697546619452]}"
1_1_52_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48678785293434,30.377025405907883]}"
1_1_53_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52361877958324,30.42194117011386]}"
1_1_54_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.37360012713528,30.510874383241692]}"
1_1_55_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53260193242444,30.38780518931732]}"
1_1_56_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2729888153139,30.472246826024556]}"
1_1_57_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31071805724692,30.503687860968736]}"
1_1_58_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.27119218474566,30.464161988467477]}"
1_1_59_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52721204071972,30.445297367500967]}"
1_1_60_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39965127037475,30.529739004208203]}"
1_1_61_0,0,0,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39875295509063,30.502789545684617]}"
1_1_62_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48319459179787,30.43990747579625]}"
1_1_63_0,0,0,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52272046429913,30.36894056835081]}"
1_1_64_0,0,0,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.25322587906327,30.57375645313006]}"
1_1_65_0,0,0,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.28287028343921,30.49380639284342]}"
