system:index,area,landcover,grid,.geo,lon,lat
1_2_0_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12063911740907,30.281264996620745]}",107.1206391,30.281265
1_2_1_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93630482110775,30.149751639025645]}",106.9363048,30.14975164
1_2_2_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0764420054304,30.202033588561402]}",107.076442,30.20203359
1_2_3_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.15567341348974,30.3583404479982]}",107.1556734,30.35834045
1_2_4_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94169471281246,30.098547667830832]}",106.9416947,30.09854767
1_2_5_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08290987547606,30.196643696856686]}",107.0829099,30.1966437
1_2_6_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.02362106672417,30.21065741528895]}",107.0236211,30.21065742
1_2_7_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11524922570436,30.32761806528131]}",107.1152492,30.32761807
1_2_8_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14381565173936,30.289888823348292]}",107.1438157,30.28988882
1_2_9_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12980193330709,30.21389135031178]}",107.1298019,30.21389135
1_2_10_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1222560849205,30.333007956986027]}",107.1222561,30.33300796
1_2_11_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.1184831607272,30.288271855836875]}",107.1184832,30.28827186
1_2_12_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96055933377897,30.11956824547923]}",106.9605593,30.11956825
1_2_13_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9487015720286,30.12603611552489]}",106.9487016,30.12603612
1_2_14_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.11902214989766,30.280726007450273]}",107.1190221,30.28072601
1_2_15_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.07805897294182,30.228444057914515]}",107.078059,30.22844406
1_2_16_0,1,0,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12980193330709,30.284498931643572]}",107.1298019,30.28449893
1_2_17_0,1,0,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94277269115341,30.10016463534225]}",106.9427727,30.10016464
1_2_18_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0915337022036,30.226827090403102]}",107.0915337,30.22682709
1_2_19_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12926294413663,30.2478476680515]}",107.1292629,30.24784767
1_2_20_0,1,0,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01661420750804,30.186941891788194]}",107.0166142,30.18694189
1_2_21_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.13519182501182,30.26779026735895]}",107.1351918,30.26779027
1_2_22_0,1,0,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.12872395496615,30.247308678881026]}",107.128724,30.24730868
