epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7422618865966797,1.7199125289916992,1e-04,0.7662500143051147,1.6117180585861206
1,0.7869047522544861,1.3795177936553955,1e-04,0.784166693687439,1.287310004234314
2,0.8009523749351501,1.1477640867233276,1e-04,0.7887499928474426,1.075537919998169
3,0.8267857432365417,0.9496409893035889,1e-04,0.7900000214576721,0.9926066994667053
4,0.8678571581840515,0.7659559845924377,1e-04,0.7929166555404663,0.8900855779647827
5,0.9309523701667786,0.5608341693878174,1e-04,0.78125,0.9057782888412476
6,0.9704762101173401,0.4002251923084259,1e-04,0.7716666460037231,0.9317684173583984
7,0.9694047570228577,0.3392844498157501,1e-04,0.7770833373069763,0.985736608505249
8,0.9925000071525574,0.24846507608890533,1e-04,0.7825000286102295,1.1087090969085693
9,0.9878571629524231,0.21722520887851715,1e-04,0.7724999785423279,1.0493916273117065
10,0.9940476417541504,0.18041028082370758,3e-05,0.7825000286102295,0.9367398023605347
11,0.9972618818283081,0.16453592479228973,3e-05,0.7933333516120911,0.9294602274894714
12,0.998452365398407,0.15248151123523712,3e-05,0.7954166531562805,0.9017064571380615
13,0.9991666674613953,0.1437767744064331,3e-05,0.7900000214576721,0.8986870050430298
14,0.9992856979370117,0.1366053968667984,3e-05,0.7804166674613953,0.884441614151001
