epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8491071462631226,0.7058344483375549,1e-04,0.7581250071525574,0.9305779933929443
1,0.9112499952316284,0.5626604557037354,1e-04,0.8600000143051147,0.7600509524345398
2,0.9389285445213318,0.4812302887439728,1e-04,0.8581249713897705,0.6777461171150208
3,0.9616071581840515,0.41358616948127747,1e-04,0.8812500238418579,0.6034721732139587
4,0.9696428775787354,0.36833226680755615,1e-04,0.8799999952316284,0.6493121981620789
5,0.9764285683631897,0.3468438386917114,1e-04,0.878125011920929,0.6929811239242554
6,0.9833928346633911,0.30925580859184265,1e-04,0.8774999976158142,0.7992348670959473
7,0.9901785850524902,0.2839283347129822,1e-04,0.8700000047683716,0.9283790588378906
8,0.9937499761581421,0.25992467999458313,1e-04,0.8787500262260437,0.9129213690757751
9,0.9948214292526245,0.25188830494880676,3e-05,0.8849999904632568,0.8386450409889221
10,0.9973214268684387,0.23889221251010895,3e-05,0.8868749737739563,0.8426371812820435
11,0.9973214268684387,0.23599600791931152,3e-05,0.8818749785423279,0.8912204504013062
12,0.9983928799629211,0.22822800278663635,3e-05,0.8868749737739563,0.9024764895439148
13,0.9992856979370117,0.22344627976417542,3e-05,0.8818749785423279,0.8962342739105225
14,0.9987499713897705,0.22225439548492432,8.999999e-06,0.8818749785423279,0.8978193402290344
