epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9456599950790405,0.20339278876781464,3e-05,0.9240384697914124,0.25411009788513184
1,0.9456599950790405,0.1992419958114624,3e-05,0.920192301273346,0.25764477252960205
2,0.9471026659011841,0.20191575586795807,3e-05,0.9278846383094788,0.25185397267341614
3,0.9466217756271362,0.1953725665807724,3e-05,0.9230769276618958,0.25587713718414307
4,0.9459004402160645,0.19722852110862732,3e-05,0.9182692170143127,0.2634619474411011
5,0.9468622207641602,0.1915917545557022,3e-05,0.9240384697914124,0.26180022954940796
6,0.9492666721343994,0.18736699223518372,8.999999e-06,0.9221153855323792,0.2557083070278168
7,0.9485453367233276,0.18476538360118866,8.999999e-06,0.9221153855323792,0.2584332823753357
8,0.9533541798591614,0.1809024065732956,8.999999e-06,0.920192301273346,0.2597219944000244
9,0.9535946249961853,0.18064925074577332,8.999999e-06,0.9230769276618958,0.26093775033950806
