epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8278384804725647,0.7302754521369934,1e-04,0.8352375030517578,0.7610859870910645
1,0.8982864022254944,0.5727206468582153,1e-04,0.8586891293525696,0.6509842872619629
2,0.9425793886184692,0.45333755016326904,1e-04,0.8616957068443298,0.6364228129386902
3,0.9820623397827148,0.337147057056427,1e-04,0.8508719205856323,0.7799667119979858
4,0.992283821105957,0.2848885655403137,1e-04,0.8310282826423645,0.9536949992179871
5,0.9900791645050049,0.26321741938591003,1e-04,0.8364401459693909,0.9895473718643188
6,0.991482138633728,0.23837405443191528,1e-04,0.8568851351737976,0.9021192193031311
7,0.9950897097587585,0.21145883202552795,1e-04,0.8472639918327332,1.0421228408813477
8,0.9985970258712769,0.18970610201358795,3e-05,0.8544798493385315,0.8679450750350952
9,1.0,0.17932316660881042,3e-05,0.8574864864349365,0.8575759530067444
10,1.0,0.17338623106479645,3e-05,0.8592904210090637,0.854487419128418
11,1.0,0.16752542555332184,3e-05,0.8574864864349365,0.8493497967720032
12,1.0,0.1615518480539322,3e-05,0.8574864864349365,0.8436035513877869
13,1.0,0.15755075216293335,8.999999e-06,0.8574864864349365,0.8422996997833252
14,1.0,0.15561842918395996,8.999999e-06,0.8580877780914307,0.8401255011558533
