epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8493872284889221,0.6999813914299011,1e-04,0.8689378499984741,0.683825671672821
1,0.8824877142906189,0.6093875765800476,1e-04,0.8685370683670044,0.6292159557342529
2,0.8994387984275818,0.5488012433052063,1e-04,0.871342658996582,0.6076246500015259
3,0.9184514880180359,0.48701611161231995,1e-04,0.8745490908622742,0.5849335193634033
4,0.9409002661705017,0.4190700948238373,1e-04,0.8601202368736267,0.5927640795707703
5,0.9635780453681946,0.35571688413619995,1e-04,0.8557114005088806,0.6339626312255859
6,0.9772076606750488,0.3024279773235321,1e-04,0.8565130233764648,0.6680223941802979
7,0.9836215972900391,0.2696934938430786,1e-04,0.8521041870117188,0.6693479418754578
8,0.9867140054702759,0.24849721789360046,1e-04,0.8589178323745728,0.739582896232605
9,0.9937006235122681,0.22272413969039917,3e-05,0.8629258275032043,0.7114338874816895
10,0.9946168661117554,0.21575035154819489,3e-05,0.8601202368736267,0.6960369944572449
11,0.9954186081886292,0.21048685908317566,3e-05,0.8621242642402649,0.6863882541656494
12,0.9943878054618835,0.20576222240924835,3e-05,0.8605210185050964,0.7302250862121582
13,0.9961058497428894,0.19688285887241364,3e-05,0.8633266687393188,0.7125920057296753
14,0.9953041076660156,0.19546067714691162,8.999999e-06,0.8609218597412109,0.7016223669052124
15,0.9966785311698914,0.19133268296718597,8.999999e-06,0.8613226413726807,0.7153565287590027
16,0.9953041076660156,0.19231928884983063,8.999999e-06,0.859719455242157,0.7167492508888245
17,0.9965639710426331,0.18873734772205353,8.999999e-06,0.8605210185050964,0.7216574549674988
18,0.9969075918197632,0.18726703524589539,8.999999e-06,0.8617234230041504,0.7175652384757996
19,0.9965639710426331,0.18635700643062592,2.6999999e-06,0.8609218597412109,0.7073978185653687
