system:index,area,classification,grid,.geo,lon,lat
1_0,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9532829799776,30.164843335798853]}",106.9532829799776,30.164843335798853
1_1,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.97592052513741,30.156668666713365]}",106.97592052513741,30.156668666713365
1_2,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94070656599993,30.14220579063904]}",106.94070656599993,30.14220579063904
1_3,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95013887648318,30.093786596824998]}",106.95013887648318,30.093786596824998
1_4,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9840951942229,30.16987390138992]}",106.9840951942229,30.16987390138992
1_5,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93693364180663,30.13843286644574]}",106.93693364180663,30.13843286644574
1_6,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96397293185862,30.14094814924127]}",106.96397293185862,30.14094814924127
1_7,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9532829799776,30.146607535531228]}",106.9532829799776,30.146607535531228
1_8,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9576847248698,30.158555128810015]}",106.9576847248698,30.158555128810015
1_9,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9576847248698,30.110764755694856]}",106.9576847248698,30.110764755694856
1_10,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91178081385128,30.1591839495089]}",106.91178081385128,30.1591839495089
1_11,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.97843580793295,30.15603984601448]}",106.97843580793295,30.15603984601448
1_12,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94133538669881,30.09881716241607]}",106.94133538669881,30.09881716241607
1_13,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90549260686245,30.146607535531228]}",106.90549260686245,30.146607535531228
1_14,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9532829799776,30.102590086609368]}",106.9532829799776,30.102590086609368
1_15,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.92121312433454,30.13403112155355]}",106.92121312433454,30.13403112155355
1_16,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9576847248698,30.13843286644574]}",106.9576847248698,30.13843286644574
1_17,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95076769718207,30.141576969940157]}",106.95076769718207,30.141576969940157
1_18,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9840951942229,30.166729797895503]}",106.9840951942229,30.166729797895503
1_19,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90486378616356,30.145978714832342]}",106.90486378616356,30.145978714832342
1_20,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.96020000766532,30.15415338391783]}",106.96020000766532,30.15415338391783
1_21,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.92750133132337,30.125856452468064]}",106.92750133132337,30.125856452468064
1_22,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94510831089212,30.112022397092623]}",106.94510831089212,30.112022397092623
1_23,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93567600040886,30.123341169672532]}",106.93567600040886,30.123341169672532
1_24,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.97026113884746,30.177419749776526]}",106.97026113884746,30.177419749776526
1_25,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9532829799776,30.147865176928992]}",106.9532829799776,30.147865176928992
1_26,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98912575981397,30.182450315367596]}",106.98912575981397,30.182450315367596
1_27,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94070656599993,30.123341169672532]}",106.94070656599993,30.123341169672532
1_28,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9111519931524,30.15603984601448]}",106.9111519931524,30.15603984601448
1_29,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.94888123508542,30.117052962683694]}",106.94888123508542,30.117052962683694
1_30,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91303845524905,30.127742914564717]}",106.91303845524905,30.127742914564717
1_31,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.98912575981397,30.15415338391783]}",106.98912575981397,30.15415338391783
