system:index,area,class,grid,.geo,lon,lat
1_302,0,0,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.66716956198553,30.333367283099676]}",106.66716956198552,30.33336728309968
1_1624,1,0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.04634844341238,30.21389135031178]}",107.04634844341238,30.21389135031178
1_1611,1,0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0111344842749,30.18810970165755]}",107.0111344842749,30.18810970165755
1_79,1,0,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.93944892460216,30.148493997627877]}",106.93944892460216,30.14849399762788
2_1424,1,1,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.92309958643119,30.095673058921648]}",106.9230995864312,30.095673058921648
2_2736,0,3,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.70238352112302,30.29626686186554]}",106.70238352112302,30.29626686186554
2_1473,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49738797328695,30.638974142757135]}",106.49738797328696,30.63897414275713
1_1183,1,0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.0457196227135,30.2208083779995]}",107.0457196227135,30.2208083779995
2_1911,0,2,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53637485661774,30.70311385404327]}",106.53637485661774,30.70311385404327
2_1771,0,2,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52002551844676,30.69116626076448]}",106.52002551844676,30.69116626076448
2_1915,0,2,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.40180722705664,30.470450195456312]}",106.40180722705664,30.470450195456312
1_695,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49235740769588,30.673559281195736]}",106.49235740769588,30.673559281195736
1_554,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53951896011215,30.649035273939276]}",106.53951896011216,30.64903527393928
2_318,1,1,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.026855001747,30.246590026653728]}",107.026855001747,30.246590026653728
2_591,0,1,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4571434485584,30.669786357002437]}",106.4571434485584,30.66978635700244
1_1311,1,0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9922698633084,30.184336777464246]}",106.9922698633084,30.18433677746425
2_887,0,1,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.68603418295204,30.28306162718898]}",106.68603418295204,30.28306162718898
1_1100,1,0,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01805151196262,30.214520171010662]}",107.01805151196262,30.214520171010665
