system:index,area,classification,grid,.geo,lon,lat
1_0,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51499495285569,30.65532348092811]}",106.51499495285569,30.65532348092811
1_1,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45399934506398,30.67230163979797]}",106.45399934506398,30.67230163979797
1_2,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52945782893002,30.707515598935455]}",106.52945782893002,30.707515598935455
1_3,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49235740769588,30.702485033344384]}",106.49235740769588,30.702485033344384
1_4,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47412160742826,30.685506874474527]}",106.47412160742826,30.685506874474527
1_5,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49047094559923,30.63960296345602]}",106.49047094559923,30.63960296345602
1_6,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48166745581486,30.684878053775645]}",106.48166745581486,30.684878053775645
1_7,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53826131871439,30.67544574329239]}",106.53826131871439,30.67544574329239
1_8,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52002551844676,30.637716501359368]}",106.52002551844676,30.637716501359368
1_9,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.48669802140593,30.649664094638158]}",106.48669802140593,30.649664094638158
1_10,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.52065433914565,30.65532348092811]}",106.52065433914565,30.65532348092811
1_11,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47789453162156,30.706257957537687]}",106.47789453162156,30.706257957537687
1_12,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51247967006016,30.676703384690157]}",106.51247967006016,30.676703384690157
1_13,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.491728586997,30.685506874474527]}",106.491728586997,30.685506874474527
1_14,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49613033188918,30.644004708348206]}",106.49613033188918,30.644004708348206
1_15,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47412160742826,30.679847488184574]}",106.47412160742826,30.679847488184574
1_16,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4565146278595,30.658467584422528]}",106.4565146278595,30.658467584422528
1_17,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4992744353836,30.684878053775645]}",106.4992744353836,30.684878053775645
1_18,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46028755205282,30.633943577166068]}",106.46028755205282,30.633943577166068
1_19,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45148406226843,30.658467584422528]}",106.45148406226843,30.658467584422528
1_20,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45399934506398,30.699340929849967]}",106.45399934506398,30.699340929849967
1_21,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.54014778081104,30.67041517770132]}",106.54014778081104,30.67041517770132
1_22,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.49235740769588,30.671043998400204]}",106.49235740769588,30.671043998400204
1_23,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46909104183719,30.649035273939276]}",106.46909104183719,30.649035273939276
1_24,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.45777226925728,30.642118246251552]}",106.45777226925728,30.642118246251552
1_25,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51247967006016,30.65029291533704]}",106.51247967006016,30.65029291533704
1_26,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47726571092267,30.68236277098011]}",106.47726571092267,30.68236277098011
1_27,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46657575904165,30.664126970712484]}",106.46657575904165,30.664126970712484
1_28,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.47537924882602,30.698712109151085]}",106.47537924882602,30.698712109151085
1_29,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.51310849075904,30.63960296345602]}",106.51310849075904,30.63960296345602
1_30,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.53826131871439,30.644004708348206]}",106.53826131871439,30.644004708348206
1_31,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4684622211383,30.686764515872294]}",106.4684622211383,30.686764515872294
1_32,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46594693834277,30.635830039262718]}",106.46594693834277,30.635830039262718
1_33,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4609163727517,30.683620412377877]}",106.4609163727517,30.683620412377877
1_34,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.5256849047367,30.647148811842623]}",106.5256849047367,30.647148811842623
1_35,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4722351453316,30.652179377433693]}",106.4722351453316,30.652179377433693
1_36,0,0,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.4910997662981,30.63960296345602]}",106.4910997662981,30.63960296345602
